,step,total_agents,agents_shopping,agents_dwelling,agents_exiting,agents_completed
226,227,55,39,2,14,45
227,228,55,41,0,14,45
228,229,55,39,0,16,45
229,230,55,39,0,16,45
230,231,55,39,0,16,45
231,232,55,39,0,16,45
232,233,55,39,0,16,45
233,234,54,36,3,15,46
234,235,54,36,3,15,46
235,236,54,39,0,15,46
236,237,54,36,0,18,46
237,238,54,36,0,18,46
238,239,54,36,0,18,46
239,240,54,36,0,18,46
240,241,54,35,1,18,46
241,242,53,34,2,17,47
242,243,53,35,1,17,47
243,244,53,35,1,17,47
244,245,53,34,2,17,47
245,246,53,35,1,17,47
246,247,53,35,0,18,47
247,248,53,35,0,18,47
248,249,53,35,0,18,47
249,250,52,34,1,17,48
250,251,52,33,2,17,48
251,252,52,34,1,17,48
252,253,52,34,0,18,48
253,254,52,31,2,19,48
254,255,52,31,2,19,48
255,256,51,33,0,18,49
256,257,51,33,0,18,49
257,258,51,33,0,18,49
258,259,51,33,0,18,49
259,260,51,33,0,18,49
260,261,50,32,1,17,50
261,262,50,31,2,17,50
262,263,49,32,1,16,51
263,264,49,32,0,17,51
264,265,48,31,0,17,52
265,266,48,31,0,17,52
266,267,48,30,1,17,52
267,268,46,30,1,15,54
268,269,46,31,0,15,54
269,270,46,31,0,15,54
270,271,46,31,0,15,54
271,272,46,30,1,15,54
272,273,46,30,1,15,54
273,274,46,30,1,15,54
274,275,45,28,2,15,55
275,276,45,29,1,15,55
276,277,45,29,0,16,55
277,278,45,28,0,17,55
278,279,45,28,0,17,55
279,280,45,28,0,17,55
280,281,45,28,0,17,55
281,282,45,28,0,17,55
282,283,45,28,0,17,55
283,284,45,28,0,17,55
284,285,45,28,0,17,55
285,286,45,28,0,17,55
286,287,45,28,0,17,55
287,288,45,28,0,17,55
288,289,44,28,0,16,56
289,290,43,28,0,15,57
290,291,43,28,0,15,57
291,292,43,28,0,15,57
292,293,43,28,0,15,57
293,294,42,28,0,14,58
294,295,42,28,0,14,58
295,296,42,28,0,14,58
296,297,42,27,1,14,58
297,298,42,27,1,14,58
298,299,42,28,0,14,58
299,300,42,27,0,15,58
300,301,41,27,0,14,59
301,302,41,26,1,14,59
302,303,40,26,1,13,60
303,304,40,27,0,13,60
304,305,39,25,1,13,61
305,306,39,25,1,13,61
306,307,38,26,0,12,62
307,308,38,24,1,13,62
308,309,38,24,1,13,62
309,310,38,25,0,13,62
310,311,38,25,0,13,62
311,312,38,25,0,13,62
312,313,38,25,0,13,62
313,314,38,25,0,13,62
314,315,37,24,1,12,63
315,316,36,24,1,11,64
316,317,36,25,0,11,64
317,318,36,24,1,11,64
318,319,36,23,2,11,64
319,320,35,23,2,10,65
320,321,34,23,1,10,66
321,322,34,24,0,10,66
322,323,34,23,0,11,66
323,324,34,22,1,11,66
324,325,33,22,1,10,67
325,326,33,23,0,10,67
326,327,33,22,0,11,67
327,328,33,22,0,11,67
328,329,33,21,1,11,67
329,330,33,21,1,11,67
330,331,33,22,0,11,67
331,332,32,22,0,10,68
332,333,32,19,3,10,68
333,334,31,18,4,9,69
334,335,30,21,1,8,70
335,336,30,19,0,11,70
336,337,30,18,0,12,70
337,338,30,18,0,12,70
338,339,30,18,0,12,70
339,340,29,17,1,11,71
340,341,29,17,1,11,71
341,342,29,18,0,11,71
342,343,29,15,2,12,71
343,344,29,15,2,12,71
344,345,28,17,0,11,72
345,346,28,15,0,13,72
346,347,27,14,1,12,73
347,348,27,14,1,12,73
348,349,26,15,0,11,74
349,350,26,14,0,12,74
350,351,26,14,0,12,74
351,352,26,13,1,12,74
352,353,26,13,1,12,74
353,354,26,14,0,12,74
354,355,25,13,0,12,75
355,356,24,13,0,11,76
356,357,24,13,0,11,76
357,358,23,13,0,10,77
358,359,23,12,1,10,77
359,360,23,10,3,10,77
360,361,23,11,2,10,77
