Step,AgentID,agent_id,position,state,products_remaining
23.0,6,6,"(9, 7)",shopping,2
23.0,7,7,"(9, 5)",shopping,1
23.0,8,8,"(7, 3)",shopping,1
23.0,9,9,"(5, 3)",shopping,1
23.0,10,10,"(3, 5)",shopping,1
23.0,11,11,"(2, 4)",shopping,2
24.0,1,1,"(5, 6)",exiting,0
24.0,2,2,"(20, 5)",shopping,2
24.0,3,3,"(18, 3)",shopping,1
24.0,4,4,"(16, 3)",shopping,1
24.0,5,5,"(14, 3)",shopping,1
24.0,6,6,"(9, 6)",shopping,2
24.0,7,7,"(10, 5)",shopping,1
24.0,8,8,"(8, 3)",shopping,1
24.0,9,9,"(6, 3)",shopping,1
24.0,10,10,"(4, 5)",shopping,1
24.0,11,11,"(3, 4)",shopping,2
24.0,12,12,"(1, 4)",shopping,2
25.0,1,1,"(4, 6)",exiting,0
25.0,2,2,"(21, 5)",shopping,2
25.0,3,3,"(19, 3)",shopping,1
25.0,4,4,"(17, 3)",shopping,1
25.0,5,5,"(15, 3)",shopping,1
25.0,6,6,"(10, 6)",shopping,2
25.0,7,7,"(10, 4)",shopping,1
25.0,8,8,"(8, 4)",shopping,1
25.0,9,9,"(7, 3)",shopping,1
25.0,10,10,"(5, 5)",shopping,1
25.0,11,11,"(4, 4)",shopping,2
25.0,12,12,"(2, 4)",shopping,2
26.0,1,1,"(3, 6)",exiting,0
26.0,2,2,"(22, 5)",shopping,2
26.0,3,3,"(20, 3)",shopping,1
26.0,4,4,"(18, 3)",shopping,1
26.0,5,5,"(16, 3)",shopping,1
26.0,6,6,"(11, 6)",shopping,2
26.0,7,7,"(11, 4)",shopping,1
26.0,8,8,"(9, 4)",shopping,1
26.0,9,9,"(7, 4)",shopping,1
26.0,10,10,"(5, 4)",shopping,1
26.0,11,11,"(4, 5)",shopping,2
26.0,12,12,"(2, 3)",shopping,2
26.0,13,13,"(1, 4)",shopping,2
27.0,1,1,"(2, 6)",exiting,0
27.0,2,2,"(23, 5)",shopping,2
27.0,3,3,"(21, 3)",shopping,1
27.0,4,4,"(19, 3)",shopping,1
27.0,5,5,"(17, 3)",shopping,1
27.0,6,6,"(11, 6)",dwelling,2
27.0,7,7,"(12, 4)",shopping,1
27.0,8,8,"(10, 4)",shopping,1
27.0,9,9,"(8, 4)",shopping,1
27.0,10,10,"(6, 4)",shopping,1
27.0,11,11,"(5, 5)",shopping,2
27.0,12,12,"(3, 3)",shopping,2
27.0,13,13,"(2, 4)",shopping,2
28.0,1,1,"(2, 5)",exiting,0
28.0,2,2,"(24, 5)",shopping,2
28.0,3,3,"(22, 3)",shopping,1
28.0,4,4,"(20, 3)",shopping,1
28.0,5,5,"(18, 3)",shopping,1
28.0,6,6,"(11, 6)",dwelling,2
28.0,7,7,"(13, 4)",shopping,1
28.0,8,8,"(11, 4)",shopping,1
28.0,9,9,"(9, 4)",shopping,1
28.0,10,10,"(7, 4)",shopping,1
28.0,11,11,"(6, 5)",shopping,2
28.0,12,12,"(4, 3)",shopping,2
28.0,13,13,"(3, 4)",shopping,2
28.0,14,14,"(1, 4)",shopping,1
29.0,2,2,"(25, 5)",shopping,2
29.0,3,3,"(23, 3)",shopping,1
29.0,4,4,"(21, 3)",shopping,1
29.0,5,5,"(19, 3)",shopping,1
29.0,6,6,"(11, 6)",shopping,1
29.0,7,7,"(14, 4)",shopping,1
29.0,8,8,"(12, 4)",shopping,1
29.0,9,9,"(10, 4)",shopping,1
